hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\productpm,null,775734,dmitrykabanov,2023-11-26T13:37:53.000Z,1K,,1K,11,4,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\productpm,null,776352,Testograf,2023-11-25T12:58:30.000Z,442,,442,6,0,/ru/companies/testograf/articles/
D:\untitled3\.\hubs\productpm,null,776194,mc_nick,2023-11-24T12:33:16.000Z,11K,,11K,24,35,/ru/hubs/refactoring/
D:\untitled3\.\hubs\productpm,null,776004,Ontonet,2023-11-23T15:00:30.000Z,702,,702,10,1,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\productpm,null,775892,ocaseyclub,2023-11-23T10:13:27.000Z,2.2K,,2.2K,7,1,/ru/hubs/productpm/
D:\untitled3\.\hubs\productpm,null,775824,Katrin_O,2023-11-23T07:10:17.000Z,480,,480,1,1,/ru/companies/vsk_insurance/articles/
D:\untitled3\.\hubs\productpm,null,775654,EvaTeam,2023-11-22T11:26:28.000Z,5K,,5K,17,4,/ru/companies/evateam/articles/
D:\untitled3\.\hubs\productpm,null,774608,Atlamos,2023-11-22T07:21:01.000Z,2K,,2K,37,0,/ru/companies/sbermarket/articles/
D:\untitled3\.\hubs\productpm,null,772512,its_capitan,2023-11-21T11:48:31.000Z,2.7K,,2.7K,5,1,/ru/hubs/startuprise/
D:\untitled3\.\hubs\productpm,null,774378,skovalev,2023-11-21T09:50:06.000Z,1.5K,,1.5K,9,0,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\productpm,null,775278,artnek,2023-11-21T07:50:21.000Z,1.1K,,1.1K,8,3,/ru/companies/kaiten/articles/
D:\untitled3\.\hubs\productpm,null,775252,tw0face,2023-11-21T06:17:41.000Z,1.1K,,1.1K,17,8,/ru/hubs/venturecap/
D:\untitled3\.\hubs\productpm,null,774808,Testograf,2023-11-18T10:06:36.000Z,1.3K,,1.3K,14,1,/ru/companies/testograf/articles/
D:\untitled3\.\hubs\productpm,null,774328,Anastasiia_Vinokurova,2023-11-17T09:13:40.000Z,2.5K,,2.5K,21,5,/ru/companies/sbermarket/articles/
D:\untitled3\.\hubs\productpm,null,774396,SuperLeha,2023-11-17T06:30:02.000Z,781,,781,5,1,/ru/companies/newtel/articles/
D:\untitled3\.\hubs\productpm,null,774386,smlab_dev,2023-11-16T12:27:58.000Z,649,,649,15,1,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\productpm,null,774342,dblmokk,2023-11-16T11:19:37.000Z,2.4K,,2.4K,39,2,/ru/companies/beeline_tech/articles/
D:\untitled3\.\hubs\productpm,null,773874,kolkoni,2023-11-14T13:25:51.000Z,3.5K,,3.5K,29,30,/ru/hubs/dev_management/
D:\untitled3\.\hubs\productpm,null,773634,myoffice_ru,2023-11-14T09:09:06.000Z,1.4K,,1.4K,4,2,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\productpm,null,773794,AlexEfremo,2023-11-14T08:45:19.000Z,430,,430,1,6,/ru/hubs/productpm/
D:\untitled3\.\hubs\productpm,null,773768,Digital_Design,2023-11-14T07:40:50.000Z,497,,497,3,0,/ru/companies/digdes/articles/
D:\untitled3\.\hubs\productpm,null,773570,ph_piter,2023-11-13T17:59:10.000Z,3.5K,,3.5K,44,6,/ru/companies/piter/articles/
D:\untitled3\.\hubs\productpm,null,773542,Anastasia_Fishkina,2023-11-13T11:10:25.000Z,4.5K,,4.5K,22,2,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\productpm,null,773368,sszhenov,2023-11-12T10:53:41.000Z,2.8K,,2.8K,25,0,/ru/companies/beeline_cloud/articles/
D:\untitled3\.\hubs\productpm,null,773130,Testograf,2023-11-11T07:12:07.000Z,452,,452,7,0,/ru/companies/testograf/articles/
D:\untitled3\.\hubs\productpm,null,772848,badcasedaily1,2023-11-10T13:56:58.000Z,1.1K,,1.1K,28,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\productpm,null,773056,lethen,2023-11-10T09:02:02.000Z,28K,,28K,6,7,/ru/companies/avito/articles/
D:\untitled3\.\hubs\productpm,null,772754,alobzov,2023-11-10T08:41:10.000Z,5.3K,,5.3K,39,17,/ru/companies/alfa/articles/
D:\untitled3\.\hubs\productpm,null,773070,Eskimo,2023-11-10T07:58:40.000Z,1.4K,,1.4K,11,2,/ru/hubs/dev_management/
D:\untitled3\.\hubs\productpm,null,771560,sedovamargarita,2023-11-10T07:29:32.000Z,1.3K,,1.3K,13,5,/ru/companies/skyeng/articles/
D:\untitled3\.\hubs\productpm,null,773004,lol_wat,2023-11-09T20:18:34.000Z,955,,955,8,0,/ru/hubs/community_management/
D:\untitled3\.\hubs\productpm,null,772944,BA_Mentor,2023-11-09T15:46:25.000Z,763,,763,8,0,/ru/hubs/productpm/
D:\untitled3\.\hubs\productpm,null,772820,haaxan,2023-11-09T12:56:59.000Z,598,,598,6,0,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\productpm,null,772798,AntonLis,2023-11-09T08:51:00.000Z,2.6K,,2.6K,39,4,/ru/companies/pyrobyte/articles/
D:\untitled3\.\hubs\productpm,null,772390,olgakram,2023-11-09T08:16:48.000Z,5.5K,,5.5K,35,8,/ru/companies/sbermarket/articles/
D:\untitled3\.\hubs\productpm,null,772496,its_capitan,2023-11-08T13:26:14.000Z,9.1K,,9.1K,26,39,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\productpm,null,772618,ru_vds,2023-11-08T13:00:01.000Z,39K,,39K,140,134,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\productpm,null,772516,Testograf,2023-11-08T10:45:12.000Z,548,,548,6,0,/ru/companies/testograf/articles/
D:\untitled3\.\hubs\productpm,null,769316,scarrydigital,2023-11-08T07:00:01.000Z,20K,,20K,88,125,/ru/companies/nlmk/articles/
D:\untitled3\.\hubs\productpm,null,771808,MarinaPronina,2023-11-07T10:44:16.000Z,1.5K,,1.5K,5,0,/ru/hubs/productpm/
D:\untitled3\.\hubs\productpm,null,772248,MichaelPimenov,2023-11-07T09:22:25.000Z,903,,903,8,1,/ru/companies/securityvison/articles/
D:\untitled3\.\hubs\productpm,null,771798,ru_vds,2023-11-06T13:00:01.000Z,8.9K,,8.9K,27,2,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\productpm,null,772004,cless75,2023-11-05T11:24:56.000Z,4.8K,,4.8K,30,55,/ru/hubs/dev_management/
D:\untitled3\.\hubs\productpm,null,771608,rpiontik,2023-11-02T18:59:40.000Z,13K,,13K,92,29,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\productpm,null,769398,MTorn,2023-11-02T17:28:39.000Z,2.3K,,2.3K,21,4,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\productpm,null,771484,AndyJack,2023-11-02T09:50:54.000Z,2.4K,,2.4K,18,3,/ru/companies/kaiten/articles/
D:\untitled3\.\hubs\productpm,null,771196,its_capitan,2023-11-01T09:28:46.000Z,17K,,17K,70,55,/ru/hubs/webdev/
D:\untitled3\.\hubs\productpm,null,771086,VitalyShaev,2023-11-01T07:38:57.000Z,15K,,15K,20,72,/ru/companies/r7-office/articles/
D:\untitled3\.\hubs\productpm,null,770544,EvgeniiGerasin,2023-10-29T18:21:16.000Z,1.3K,,1.3K,15,3,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\productpm,null,768526,glebsarkisov,2023-10-26T13:45:46.000Z,2.9K,,2.9K,27,0,/ru/hubs/it_testing/
D:\untitled3\.\hubs\productpm,null,770168,kuzmimrn,2023-10-26T12:59:38.000Z,585,,585,12,2,/ru/companies/mindbox/articles/
D:\untitled3\.\hubs\productpm,null,770010,sashadzen,2023-10-26T07:17:16.000Z,2.5K,,2.5K,31,1,/ru/companies/pyrobyte/articles/
D:\untitled3\.\hubs\productpm,null,769792,Testograf,2023-10-25T09:44:45.000Z,976,,976,9,5,/ru/companies/testograf/articles/
D:\untitled3\.\hubs\productpm,null,769556,Temcheg,2023-10-25T08:08:00.000Z,3.1K,,3.1K,26,2,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\productpm,null,769702,pld,2023-10-24T19:20:41.000Z,5.1K,,5.1K,27,2,/ru/hubs/productpm/
D:\untitled3\.\hubs\productpm,null,769538,SnezhSh,2023-10-24T10:13:12.000Z,1.6K,,1.6K,10,0,/ru/companies/glowbyte/articles/
D:\untitled3\.\hubs\productpm,null,769212,artnek,2023-10-24T06:46:45.000Z,3.2K,,3.2K,16,3,/ru/companies/kaiten/articles/
D:\untitled3\.\hubs\productpm,null,769174,mr-pickles,2023-10-23T12:31:42.000Z,28K,,28K,116,28,/ru/companies/wunderfund/articles/
D:\untitled3\.\hubs\productpm,null,769152,dyshess,2023-10-22T18:27:06.000Z,2.8K,,2.8K,3,8,/ru/hubs/dev_management/
D:\untitled3\.\hubs\productpm,null,769078,ocaseyclub,2023-10-22T08:15:48.000Z,8.6K,,8.6K,37,0,/ru/hubs/productpm/
D:\untitled3\.\hubs\productpm,null,768698,xeovo,2023-10-20T07:21:25.000Z,16K,,16K,44,19,/ru/companies/xeovo/articles/
D:\untitled3\.\hubs\productpm,null,768552,rukostya,2023-10-19T16:46:58.000Z,3.6K,,3.6K,7,3,/ru/companies/tinkoff/articles/
D:\untitled3\.\hubs\productpm,null,767830,AndreyMaksimovS,2023-10-19T08:25:48.000Z,1.5K,,1.5K,21,0,/ru/companies/sbermarket/articles/
D:\untitled3\.\hubs\productpm,null,768428,Aspro74,2023-10-19T04:30:20.000Z,13K,,13K,67,7,/ru/hubs/dev_management/
D:\untitled3\.\hubs\productpm,null,768030,bapxat,2023-10-18T10:40:01.000Z,1.9K,,1.9K,13,0,/ru/companies/netologyru/articles/
D:\untitled3\.\hubs\productpm,null,767782,hikrylov,2023-10-17T12:16:12.000Z,5.2K,,5.2K,45,2,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\productpm,null,767938,xraizor,2023-10-17T07:32:18.000Z,1.7K,,1.7K,30,9,/ru/hubs/pm/
D:\untitled3\.\hubs\productpm,null,767772,SnezhSh,2023-10-16T12:34:29.000Z,1K,,1K,9,2,/ru/companies/glowbyte/articles/
D:\untitled3\.\hubs\productpm,null,767636,artnek,2023-10-16T10:23:24.000Z,1.9K,,1.9K,20,3,/ru/companies/kaiten/articles/
D:\untitled3\.\hubs\productpm,null,766024,dmitrykabanov,2023-10-15T09:05:38.000Z,1.1K,,1.1K,19,0,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\productpm,null,767504,tako_man,2023-10-14T20:05:46.000Z,10K,,10K,59,5,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\productpm,null,767232,Testograf,2023-10-13T10:15:31.000Z,327,,327,5,0,/ru/companies/testograf/articles/
D:\untitled3\.\hubs\productpm,null,767024,sedovamargarita,2023-10-13T08:11:43.000Z,3.4K,,3.4K,36,2,/ru/companies/skyeng/articles/
D:\untitled3\.\hubs\productpm,null,764518,parshikov,2023-10-13T08:06:28.000Z,4.7K,,4.7K,34,10,/ru/companies/alfa/articles/
D:\untitled3\.\hubs\productpm,null,765840,Polina_Vostrikova,2023-10-12T10:50:22.000Z,1.8K,,1.8K,15,5,/ru/companies/kaspersky/articles/
D:\untitled3\.\hubs\productpm,null,766680,sergeyphilippov,2023-10-11T13:00:45.000Z,3.5K,,3.5K,19,3,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\productpm,null,766726,krakenkaken,2023-10-11T10:30:33.000Z,2.2K,,2.2K,10,1,/ru/hubs/dev_management/
D:\untitled3\.\hubs\productpm,null,766628,Aspro74,2023-10-11T05:42:29.000Z,750,,750,5,1,/ru/hubs/pm/
D:\untitled3\.\hubs\productpm,null,766492,kolbevich,2023-10-10T10:45:59.000Z,4.9K,,4.9K,21,12,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\productpm,null,766204,DimaIgrotech,2023-10-09T09:34:54.000Z,2.1K,,2.1K,1,15,/ru/hubs/productpm/
D:\untitled3\.\hubs\productpm,null,765904,SerafimaChekulaeva,2023-10-06T22:00:48.000Z,29K,,29K,39,159,/ru/hubs/pm/
D:\untitled3\.\hubs\productpm,null,765842,Andrey_l24,2023-10-06T14:03:10.000Z,6.9K,,6.9K,37,5,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\productpm,null,765806,Xryamzik,2023-10-06T11:28:51.000Z,654,,654,2,4,/ru/hubs/productpm/
D:\untitled3\.\hubs\productpm,null,765792,MAKO_digital,2023-10-06T11:00:02.000Z,679,,679,3,0,/ru/companies/mako_digital/articles/
D:\untitled3\.\hubs\productpm,null,765640,pavlusha311245,2023-10-05T15:36:00.000Z,793,,793,7,0,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\productpm,null,765638,Anna_Antsiferova,2023-10-05T15:35:59.000Z,2.9K,,2.9K,12,3,/ru/companies/pgk/articles/
D:\untitled3\.\hubs\productpm,null,765242,SnezhSh,2023-10-04T10:10:11.000Z,1.6K,,1.6K,5,0,/ru/companies/glowbyte/articles/
D:\untitled3\.\hubs\productpm,null,765142,VanquisherWinbringer,2023-10-03T18:15:07.000Z,1K,,1K,7,5,/ru/hubs/dev_management/
D:\untitled3\.\hubs\productpm,null,761028,Uzum,2023-10-03T08:59:41.000Z,1.4K,,1.4K,5,3,/ru/companies/uzum/articles/
D:\untitled3\.\hubs\productpm,null,764804,emil-aminev,2023-10-03T08:46:07.000Z,4.8K,,4.8K,30,9,/ru/companies/sbermarket/articles/
D:\untitled3\.\hubs\productpm,null,764992,alex4Zero,2023-10-03T07:03:06.000Z,2.3K,,2.3K,13,7,/ru/hubs/dev_management/
D:\untitled3\.\hubs\productpm,null,764820,Olegramm,2023-10-02T11:50:00.000Z,571,,571,4,0,/ru/hubs/productpm/
D:\untitled3\.\hubs\productpm,null,764110,kriptokarino,2023-10-02T10:12:58.000Z,1.4K,,1.4K,106,0,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\productpm,null,764786,motaev,2023-10-02T10:04:13.000Z,1.7K,,1.7K,9,0,/ru/hubs/pm/
D:\untitled3\.\hubs\productpm,null,764264,true-hero,2023-10-02T09:00:55.000Z,1.9K,,1.9K,17,0,/ru/companies/vk/articles/
D:\untitled3\.\hubs\productpm,null,764432,DimaIgrotech,2023-10-02T06:30:02.000Z,2.3K,,2.3K,8,2,/ru/hubs/productpm/
D:\untitled3\.\hubs\productpm,null,764648,Testograf,2023-10-01T09:30:26.000Z,1.5K,,1.5K,19,0,/ru/companies/testograf/articles/
D:\untitled3\.\hubs\productpm,null,764588,valeryan_ceo,2023-09-30T17:21:03.000Z,4.4K,,4.4K,14,12,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\productpm,null,764484,VanquisherWinbringer,2023-09-29T17:11:51.000Z,2K,,2K,11,3,/ru/hubs/dev_management/
